codigo,nombre,tipo,mov,EMCR,EVR,EM,Dif_EVR,Dif_EM,Factor_EVR,Factor_EM
1,Andalucía,Exteriores,Emigraciones,99193,56511,52536,75.5,88.8,0.5697,0.5296
1,Andalucía,Internas,Emigraciones,59904,60264,44027,-0.6,36.1,1.006,0.735
1,Andalucía,Exteriores,Inmigraciones,131666,95325,78116,38.1,68.6,0.724,0.5933
1,Andalucía,Internas,Inmigraciones,63769,63977,49246,-0.3,29.5,1.0033,0.7723
2,Aragón,Exteriores,Emigraciones,20291,29563,24269,-31.4,-16.4,1.457,1.196
2,Aragón,Internas,Emigraciones,16334,16237,11780,0.6,38.7,0.9941,0.7212
2,Aragón,Exteriores,Inmigraciones,20567,16478,11608,24.8,77.2,0.8012,0.5644
2,Aragón,Internas,Inmigraciones,17094,17182,12578,-0.5,35.9,1.0051,0.7358
3,Asturias,Exteriores,Emigraciones,6256,3791,3537,65,76.9,0.606,0.5654
3,Asturias,Internas,Emigraciones,9762,9712,6988,0.5,39.7,0.9949,0.7158
3,Asturias,Exteriores,Inmigraciones,7566,5910,4877,28,55.1,0.7811,0.6446
3,Asturias,Internas,Inmigraciones,9892,10020,7614,-1.3,29.9,1.0129,0.7697
4,Baleares,Exteriores,Emigraciones,27669,13566,11850,104,133.5,0.4903,0.4283
4,Baleares,Internas,Emigraciones,20463,20675,15509,-1,31.9,1.0104,0.7579
4,Baleares,Exteriores,Inmigraciones,31401,20942,17576,49.9,78.7,0.6669,0.5597
4,Baleares,Internas,Inmigraciones,19068,19132,13318,-0.3,43.2,1.0034,0.6984
5,Canarias,Exteriores,Emigraciones,35516,15050,14792,136,140.1,0.4238,0.4165
5,Canarias,Internas,Emigraciones,23583,23582,16406,0,43.7,1,0.6957
5,Canarias,Exteriores,Inmigraciones,46961,32143,27480,46.1,70.9,0.6845,0.5852
5,Canarias,Internas,Inmigraciones,22917,22887,16105,0.1,42.3,0.9987,0.7028
6,Cantabria,Exteriores,Emigraciones,3800,2298,2156,65.4,76.3,0.6047,0.5674
6,Cantabria,Internas,Emigraciones,8243,8180,5585,0.8,47.6,0.9924,0.6775
6,Cantabria,Exteriores,Inmigraciones,5989,4742,3882,26.3,54.3,0.7918,0.6482
6,Cantabria,Internas,Inmigraciones,9681,9745,7362,-0.7,31.5,1.0066,0.7605
7,Castilla y León,Exteriores,Emigraciones,17991,9692,10036,85.6,79.3,0.5387,0.5578
7,Castilla y León,Internas,Emigraciones,32456,32426,23575,0.1,37.7,0.9991,0.7264
7,Castilla y León,Exteriores,Inmigraciones,24660,17533,14592,40.6,69,0.711,0.5917
7,Castilla y León,Internas,Inmigraciones,32059,32122,25381,-0.2,26.3,1.002,0.7917
8,Castilla-La Mancha,Exteriores,Emigraciones,22123,12728,12021,73.8,84,0.5753,0.5434
8,Castilla-La Mancha,Internas,Emigraciones,42824,42856,30604,-0.1,39.9,1.0007,0.7146
8,Castilla-La Mancha,Exteriores,Inmigraciones,28551,20055,15006,42.4,90.3,0.7024,0.5256
8,Castilla-La Mancha,Internas,Inmigraciones,47129,47024,34902,0.2,35,0.9978,0.7406
9,Cataluña,Exteriores,Emigraciones,171442,111331,88839,54,93,0.6494,0.5182
9,Cataluña,Internas,Emigraciones,55541,55896,39998,-0.6,38.9,1.0064,0.7202
9,Cataluña,Exteriores,Inmigraciones,197143,149665,113022,31.7,74.4,0.7592,0.5733
9,Cataluña,Internas,Inmigraciones,51844,52188,35686,-0.7,45.3,1.0066,0.6883
10,C. Valenciana,Exteriores,Emigraciones,84956,62462,48805,36,74.1,0.7352,0.5745
10,C. Valenciana,Internas,Emigraciones,43955,43889,29756,0.2,47.7,0.9985,0.677
10,C. Valenciana,Exteriores,Inmigraciones,126768,96175,79301,31.8,59.9,0.7587,0.6256
10,C. Valenciana,Internas,Inmigraciones,55074,55208,38873,-0.2,41.7,1.0024,0.7058
11,Extremadura,Exteriores,Emigraciones,5108,2138,2388,138.9,113.9,0.4186,0.4675
11,Extremadura,Internas,Emigraciones,11966,11961,9515,0,25.8,0.9996,0.7952
11,Extremadura,Exteriores,Inmigraciones,6225,4044,3333,53.9,86.8,0.6496,0.5354
11,Extremadura,Internas,Inmigraciones,11196,11242,8989,-0.4,24.6,1.0041,0.8029
12,Galicia,Exteriores,Emigraciones,15852,8522,7679,86,106.4,0.5376,0.4844
12,Galicia,Internas,Emigraciones,18191,18180,12310,0.1,47.8,0.9994,0.6767
12,Galicia,Exteriores,Inmigraciones,25547,19719,16789,29.6,52.2,0.7719,0.6572
12,Galicia,Internas,Inmigraciones,21332,21431,15971,-0.5,33.6,1.0046,0.7487
