codigo,nombre,tipo,mov,EMCR,EVR,Dif_EVR,Factor_EVR
1001,Alegría-Dulantzi,Internas,Emigraciones,184,186,-1.1,1.011
1002,Amurrio,Internas,Emigraciones,261,264,-1.1,1.011
1003,Aramaio,Internas,Emigraciones,56,54,3.7,0.964
1004,Artziniega,Internas,Emigraciones,86,85,1.2,0.988
1006,Armiñón,Internas,Emigraciones,22,22,0.0,1.000
1008,Arratzua-Ubarrundia,Internas,Emigraciones,68,68,0.0,1.000
1009,Asparrena,Internas,Emigraciones,78,75,4.0,0.962
1010,Ayala/Aiara,Internas,Emigraciones,131,130,0.8,0.992
1011,Baños de Ebro/Mañueta,Internas,Emigraciones,14,11,27.3,0.786
1013,Barrundia,Internas,Emigraciones,29,29,0.0,1.000
1014,Berantevilla,Internas,Emigraciones,32,34,-5.9,1.063
1016,Bernedo,Internas,Emigraciones,29,28,3.6,0.966
1017,Campezo/Kanpezu,Internas,Emigraciones,40,39,2.6,0.975
1018,Zigoitia,Internas,Emigraciones,100,99,1.0,0.990
1019,Kripan,Internas,Emigraciones,3,3,0.0,1.000
1020,Kuartango,Internas,Emigraciones,16,21,-23.8,1.313
1021,Elburgo/Burgelu,Internas,Emigraciones,34,34,0.0,1.000
1022,Elciego,Internas,Emigraciones,46,46,0.0,1.000
1023,Elvillar/Bilar,Internas,Emigraciones,13,14,-7.1,1.077
1027,Iruraiz-Gauna,Internas,Emigraciones,29,28,3.6,0.966
1028,Labastida/Bastida,Internas,Emigraciones,83,77,7.8,0.928
1030,Lagrán,Internas,Emigraciones,21,20,5.0,0.952
1031,Laguardia,Internas,Emigraciones,58,56,3.6,0.966
1032,Lanciego/Lantziego,Internas,Emigraciones,37,38,-2.6,1.027
1033,Lapuebla de Labarca,Internas,Emigraciones,43,43,0.0,1.000
1034,Leza,Internas,Emigraciones,13,13,0.0,1.000
1036,Laudio/Llodio,Internas,Emigraciones,459,451,1.8,0.983
1037,Arraia-Maeztu,Internas,Emigraciones,32,33,-3.0,1.031
1039,Moreda de Álava/Moreda Araba,Internas,Emigraciones,4,5,-20.0,1.250
1041,Navaridas,Internas,Emigraciones,7,9,-22.2,1.286
1042,Okondo,Internas,Emigraciones,64,65,-1.5,1.016
1043,Oyón-Oion,Internas,Emigraciones,139,136,2.2,0.978
1044,Peñacerrada-Urizaharra,Internas,Emigraciones,17,18,-5.6,1.059
1046,Erriberagoitia/Ribera Alta,Internas,Emigraciones,72,70,2.9,0.972
1047,Ribera Baja/Erriberabeitia,Internas,Emigraciones,96,95,1.1,0.990
1049,Añana,Internas,Emigraciones,9,10,-10.0,1.111
1051,Agurain/Salvatierra,Internas,Emigraciones,177,174,1.7,0.983
1052,Samaniego,Internas,Emigraciones,20,19,5.3,0.950
1053,San Millán/Donemiliaga,Internas,Emigraciones,40,38,5.3,0.950
1054,Urkabustaiz,Internas,Emigraciones,75,72,4.2,0.960
1055,Valdegovía/Gaubea,Internas,Emigraciones,59,61,-3.3,1.034
1056,Harana/Valle de Arana,Internas,Emigraciones,11,10,10.0,0.909
1057,Villabuena de Álava/Eskuernaga,Internas,Emigraciones,6,6,0.0,1.000
1058,Legutio,Internas,Emigraciones,111,113,-1.8,1.018
1059,Vitoria-Gasteiz,Internas,Emigraciones,4968,5002,-0.7,1.007
1060,Yécora/Iekora,Internas,Emigraciones,15,15,0.0,1.000
1061,Zalduondo,Internas,Emigraciones,3,3,0.0,1.000
1062,Zambrana,Internas,Emigraciones,35,34,2.9,0.971
1063,Zuia,Internas,Emigraciones,122,122,0.0,1.000
1901,Iruña Oka/Iruña de Oca,Internas,Emigraciones,253,243,4.1,0.960
1902,Lantarón,Internas,Emigraciones,39,39,0.0,1.000
2001,Abengibre,Internas,Emigraciones,22,23,-4.3,1.045
2002,Alatoz,Internas,Emigraciones,26,27,-3.7,1.038
2003,Albacete,Internas,Emigraciones,3981,3988,-0.2,1.002
