codigo,nombre,tipo,mov,EMCR,EVR,EM,Dif_EVR,Dif_EM,Factor_EVR,Factor_EM
1,¡Ålava,Exteriores,Emigraciones,3246,2013,1820,61.3,78.4,0.6201,0.5607
1,¡Ålava,Internas,Emigraciones,5263,5263,3946,0,33.4,1,0.7498
1,¡Ålava,Exteriores,Inmigraciones,4141,3647,2523,13.5,64.1,0.8807,0.6093
1,¡Ålava,Internas,Inmigraciones,5517,5506,3893,0.2,41.7,0.998,0.7056
2,Albacete,Exteriores,Emigraciones,3740,2123,2230,76.2,67.7,0.5676,0.5963
2,Albacete,Internas,Emigraciones,6238,6223,4687,0.2,33.1,0.9976,0.7514
2,Albacete,Exteriores,Inmigraciones,4542,3313,2500,37.1,81.7,0.7294,0.5504
2,Albacete,Internas,Inmigraciones,5695,5713,4300,-0.3,32.4,1.0032,0.755
3,Alicante,Exteriores,Emigraciones,40267,30692,28012,31.2,43.7,0.7622,0.6957
3,Alicante,Internas,Emigraciones,25006,24889,16495,0.5,51.6,0.9953,0.6596
3,Alicante,Exteriores,Inmigraciones,61912,46354,39475,33.6,56.8,0.7487,0.6376
3,Alicante,Internas,Inmigraciones,27642,27720,19236,-0.3,43.7,1.0028,0.6959
4,AlmerÌa,Exteriores,Emigraciones,16264,12850,10642,26.6,52.8,0.7901,0.6543
4,AlmerÌa,Internas,Emigraciones,10285,10233,8025,0.5,28.2,0.9949,0.7803
4,AlmerÌa,Exteriores,Inmigraciones,22731,16361,12868,38.9,76.6,0.7198,0.5661
4,AlmerÌa,Internas,Inmigraciones,11271,11452,8301,-1.6,35.8,1.0161,0.7365
5,¡vila,Exteriores,Emigraciones,1468,442,528,232.1,178,0.3011,0.3597
5,¡vila,Internas,Emigraciones,4559,4609,3332,-1.1,36.8,1.011,0.7309
5,¡vila,Exteriores,Inmigraciones,2347,1165,1086,101.5,116.1,0.4964,0.4627
5,¡vila,Internas,Inmigraciones,4917,4921,4154,-0.1,18.4,1.0008,0.8448
6,Badajoz,Exteriores,Emigraciones,3274,1547,1539,111.6,112.7,0.4725,0.4701
6,Badajoz,Internas,Emigraciones,7840,7794,6172,0.6,27,0.9941,0.7872
6,Badajoz,Exteriores,Inmigraciones,3515,2517,2004,39.7,75.4,0.7161,0.5701
6,Badajoz,Internas,Inmigraciones,7110,7160,5663,-0.7,25.6,1.007,0.7965
7,Baleares,Exteriores,Emigraciones,27669,13566,11850,104,133.5,0.4903,0.4283
7,Baleares,Internas,Emigraciones,20463,20675,15509,-1,31.9,1.0104,0.7579
7,Baleares,Exteriores,Inmigraciones,31401,20942,17576,49.9,78.7,0.6669,0.5597
7,Baleares,Internas,Inmigraciones,19068,19132,13318,-0.3,43.2,1.0034,0.6984
8,Barcelona,Exteriores,Emigraciones,129379,82503,62353,56.8,107.5,0.6377,0.4819
8,Barcelona,Internas,Emigraciones,66805,67537,50376,-1.1,32.6,1.011,0.7541
8,Barcelona,Exteriores,Inmigraciones,148143,112856,85964,31.3,72.3,0.7618,0.5803
8,Barcelona,Internas,Inmigraciones,53085,53365,37083,-0.5,43.2,1.0053,0.6986
9,Burgos,Exteriores,Emigraciones,3452,2056,1951,67.9,76.9,0.5956,0.5652
9,Burgos,Internas,Emigraciones,6338,6299,4558,0.6,39.1,0.9938,0.7192
9,Burgos,Exteriores,Inmigraciones,4252,3140,2516,35.4,69,0.7385,0.5917
9,Burgos,Internas,Inmigraciones,6188,6147,4575,0.7,35.3,0.9934,0.7393
10,C·ceres,Exteriores,Emigraciones,1834,591,849,210.3,116,0.3222,0.4629
10,C·ceres,Internas,Emigraciones,5851,5887,4745,-0.6,23.3,1.0062,0.811
10,C·ceres,Exteriores,Inmigraciones,2710,1527,1329,77.5,103.9,0.5635,0.4904
10,C·ceres,Internas,Inmigraciones,5811,5802,4728,0.2,22.9,0.9985,0.8136
11,C·diz,Exteriores,Emigraciones,8863,4691,4674,88.9,89.6,0.5293,0.5274
11,C·diz,Internas,Emigraciones,15036,15064,11307,-0.2,33,1.0019,0.752
11,C·diz,Exteriores,Inmigraciones,11348,8248,7015,37.6,61.8,0.7268,0.6182
11,C·diz,Internas,Inmigraciones,16049,16264,13054,-1.3,22.9,1.0134,0.8134
12,CastellÛn,Exteriores,Emigraciones,8642,6996,5213,23.5,65.8,0.8095,0.6032
12,CastellÛn,Internas,Emigraciones,7659,7620,5382,0.5,42.3,0.9949,0.7027
12,CastellÛn,Exteriores,Inmigraciones,10931,8800,6226,24.2,75.6,0.805,0.5696
12,CastellÛn,Internas,Inmigraciones,10802,10856,7919,-0.5,36.4,1.005,0.7331
13,Ciudad Real,Exteriores,Emigraciones,4117,2649,2412,55.4,70.7,0.6434,0.5859
13,Ciudad Real,Internas,Emigraciones,8028,8011,5838,0.2,37.5,0.9979,0.7272
13,Ciudad Real,Exteriores,Inmigraciones,4994,3470,2813,43.9,77.5,0.6948,0.5633
13,Ciudad Real,Internas,Inmigraciones,6964,7011,5311,-0.7,31.1,1.0067,0.7626
14,CÛrdoba,Exteriores,Emigraciones,3426,1661,1587,106.3,115.9,0.4848,0.4632
14,CÛrdoba,Internas,Emigraciones,9350,9439,7708,-0.9,21.3,1.0095,0.8244
14,CÛrdoba,Exteriores,Inmigraciones,4633,2408,2228,92.4,107.9,0.5197,0.4809
14,CÛrdoba,Internas,Inmigraciones,7348,6672,6130,10.1,19.9,0.908,0.8342
15,A CoruÒa,Exteriores,Emigraciones,6210,3393,3119,83,99.1,0.5464,0.5023
15,A CoruÒa,Internas,Emigraciones,11792,11845,8625,-0.4,36.7,1.0045,0.7314
15,A CoruÒa,Exteriores,Inmigraciones,10659,8496,7191,25.5,48.2,0.7971,0.6746
15,A CoruÒa,Internas,Inmigraciones,12908,12915,9920,-0.1,30.1,1.0005,0.7685
16,Cuenca,Exteriores,Emigraciones,2486,1220,1131,103.8,119.8,0.4907,0.4549
16,Cuenca,Internas,Emigraciones,4577,4593,3268,-0.3,40.1,1.0035,0.714
16,Cuenca,Exteriores,Inmigraciones,3512,2233,1795,57.3,95.7,0.6358,0.5111
16,Cuenca,Internas,Inmigraciones,4563,4573,3542,-0.2,28.8,1.0022,0.7762
17,Girona,Exteriores,Emigraciones,17331,10506,9790,65,77,0.6062,0.5649
17,Girona,Internas,Emigraciones,12617,12606,9018,0.1,39.9,0.9991,0.7147
17,Girona,Exteriores,Inmigraciones,19989,15025,10761,33,85.8,0.7517,0.5383
17,Girona,Internas,Inmigraciones,15614,15785,12047,-1.1,29.6,1.011,0.7716
18,Granada,Exteriores,Emigraciones,11580,5218,4961,121.9,133.4,0.4506,0.4284
18,Granada,Internas,Emigraciones,14035,14211,10885,-1.2,28.9,1.0125,0.7756
18,Granada,Exteriores,Inmigraciones,14049,9519,8033,47.6,74.9,0.6776,0.5718
18,Granada,Internas,Inmigraciones,14173,14234,11106,-0.4,27.6,1.0043,0.7836
19,Guadalajara,Exteriores,Emigraciones,3402,2109,2132,61.3,59.6,0.6199,0.6267
19,Guadalajara,Internas,Emigraciones,8659,8613,6233,0.5,38.9,0.9947,0.7198
19,Guadalajara,Exteriores,Inmigraciones,4368,3379,2462,29.3,77.4,0.7736,0.5636
